n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
8,40320,0.002428,0.0014,0.0013
8,40320,0.002328,0.0012,0.0012
8,40320,0.002307,0.0012,0.0012
8,40320,0.002297,0.0013,0.0012
8,40320,0.002317,0.0012,0.0012
8,40320,0.002297,0.0012,0.0012
8,40320,0.002287,0.0012,0.0012
8,40320,0.002297,0.0012,0.0012
8,40320,0.002288,0.0012,0.0012
8,40320,0.002277,0.0012,0.0012
8,40320,0.002297,0.0012,0.0012
8,40320,0.002277,0.0012,0.0012
8,40320,0.002277,0.0012,0.0012
8,40320,0.002287,0.0012,0.0012
8,40320,0.00274,0.0015,0.0014
8,40320,0.003173,0.0016,0.0016
8,40320,0.003889,0.0023,0.002
8,40320,0.003687,0.002,0.0019
8,40320,0.003194,0.0018,0.0017
8,40320,0.003012,0.0017,0.0016
8,40320,0.002519,0.0013,0.0013
