n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
3,2,0.004171,0.0022,0.0022
3,2,0.004151,0.0022,0.0022
3,2,0.004161,0.0022,0.0022
3,2,0.004101,0.0022,0.0022
3,2,0.004081,0.0022,0.0022
3,2,0.004171,0.0023,0.0023
3,2,0.004111,0.0021,0.0021
4,3,0.002458,0.0014,0.0013
4,3,0.002348,0.0012,0.0012
4,3,0.002338,0.0012,0.0012
4,3,0.002267,0.0012,0.0012
4,3,0.002257,0.0012,0.0011
4,3,0.002247,0.0012,0.0011
4,3,0.002217,0.0012,0.0012
4,3,0.002267,0.0012,0.0012
4,3,0.002277,0.0012,0.0012
4,3,0.002247,0.0012,0.0012
4,3,0.002227,0.0012,0.0011
4,3,0.002246,0.0012,0.0011
4,3,0.002226,0.0012,0.0011
4,3,0.002216,0.0012,0.0012
4,3,0.002216,0.0011,0.0011
4,3,0.002227,0.0012,0.0012
4,3,0.002217,0.0011,0.0011
4,3,0.002216,0.0012,0.0012
4,3,0.002227,0.0012,0.0011
4,3,0.002217,0.0012,0.0011
4,3,0.002216,0.0012,0.0012
4,3,0.002257,0.0012,0.0011
4,3,0.002227,0.0012,0.0012
4,3,0.002226,0.0012,0.0011
4,3,0.002237,0.0012,0.0012
4,3,0.002227,0.0011,0.0011
4,3,0.002247,0.0012,0.0012
4,3,0.002216,0.0011,0.0011
4,3,0.002216,0.0012,0.0011
4,3,0.002227,0.0011,0.0011
4,3,0.002227,0.0012,0.0012
4,3,0.002247,0.0012,0.0011
4,3,0.002226,0.0012,0.0012
4,3,0.002217,0.0012,0.0011
4,3,0.002217,0.0012,0.0011
4,3,0.002237,0.0012,0.0011
4,3,0.002237,0.0012,0.0011
4,3,0.002236,0.0012,0.0012
4,3,0.002216,0.0011,0.0011
4,3,0.002217,0.0012,0.0012
4,3,0.002237,0.0012,0.0012
4,3,0.002237,0.0012,0.0012
4,3,0.002237,0.0012,0.0011
4,3,0.002227,0.0012,0.0011
4,3,0.002237,0.0012,0.0012
4,3,0.002257,0.0012,0.0011
4,3,0.002226,0.0012,0.0012
4,3,0.002226,0.0012,0.0011
4,3,0.002236,0.0012,0.0011
4,3,0.033158,0.0313,0.0315
4,3,0.002499,0.0014,0.0014
4,3,0.002247,0.0012,0.0011
4,3,0.002237,0.0012,0.0012
4,3,0.002217,0.0012,0.0012
4,3,0.002227,0.0012,0.0012
4,3,0.002227,0.0012,0.0012
4,3,0.002227,0.0011,0.0011
4,3,0.002216,0.0012,0.0012
4,3,0.002217,0.0011,0.0011
4,3,0.002217,0.0011,0.0011
4,3,0.002217,0.0011,0.0011
4,3,0.002216,0.0011,0.0011
4,3,0.002217,0.0012,0.0012
4,3,0.002216,0.0012,0.0012
4,3,0.002236,0.0012,0.0011
4,3,0.002247,0.0012,0.0012
4,3,0.002236,0.0012,0.0011
4,3,0.002226,0.0012,0.0011
4,3,0.002226,0.0012,0.0012
4,3,0.002237,0.0012,0.0012
4,3,0.002216,0.0012,0.0012
4,3,0.002236,0.0012,0.0011
4,3,0.002226,0.0011,0.0011
4,3,0.002236,0.0012,0.0011
4,3,0.002227,0.0011,0.0011
4,3,0.002237,0.0011,0.0011
4,3,0.002217,0.0012,0.0011
4,3,0.002227,0.0012,0.0012
4,3,0.002217,0.0011,0.0011
4,3,0.002226,0.0012,0.0012
4,3,0.002216,0.0012,0.0012
4,3,0.002227,0.0012,0.0012
4,3,0.002216,0.0011,0.0011
4,3,0.002226,0.0011,0.0011
4,3,0.002216,0.0011,0.0011
4,3,0.002236,0.0012,0.0011
4,3,0.002227,0.0011,0.0011
4,3,0.002237,0.0012,0.0011
4,3,0.002217,0.0012,0.0011
4,3,0.002237,0.0012,0.0012
4,3,0.002217,0.0012,0.0012
4,3,0.002237,0.0012,0.0012
4,3,0.002217,0.0012,0.0011
4,3,0.002227,0.0012,0.0011
4,3,0.002217,0.0011,0.0011
4,3,0.002247,0.0012,0.0011
4,3,0.002227,0.0012,0.0012
4,3,0.002237,0.0012,0.0012
4,3,0.002217,0.0012,0.0011
4,3,0.002227,0.0011,0.0011
5,5,0.002388,0.0013,0.0012
5,5,0.002337,0.0013,0.0012
5,5,0.002328,0.0012,0.0012
5,5,0.002297,0.0012,0.0012
5,5,0.002287,0.0012,0.0011
5,5,0.002297,0.0012,0.0012
5,5,0.002298,0.0012,0.0012
5,5,0.002318,0.0013,0.0012
5,5,0.002297,0.0012,0.0012
5,5,0.002297,0.0012,0.0012
5,5,0.002327,0.0013,0.0012
5,5,0.002308,0.0012,0.0011
5,5,0.002297,0.0012,0.0012
5,5,0.002327,0.0012,0.0012
5,5,0.002298,0.0012,0.0012
5,5,0.002298,0.0012,0.0011
5,5,0.002297,0.0013,0.0012
5,5,0.002298,0.0012,0.0012
5,5,0.002318,0.0012,0.0012
5,5,0.002327,0.0012,0.0012
5,5,0.002287,0.0012,0.0011
5,5,0.002297,0.0012,0.0012
5,5,0.002297,0.0012,0.0012
5,5,0.002317,0.0012,0.0012
5,5,0.002307,0.0012,0.0012
5,5,0.002308,0.0012,0.0012
5,5,0.002288,0.0012,0.0011
5,5,0.002287,0.0012,0.0011
5,5,0.002328,0.0013,0.0012
5,5,0.002317,0.0012,0.0012
